Player,dob,height_cm,weight_kg,preferred_foot,nationality,nt_caps,nt_goals,market_value_eur,market_value_asof,contract_until,boot_sponsor,transfermarkt_url,source,collected_date,notes
Marcão,1994-06-17,196,93,both,Brazil,0,0,750000,2026-05-21,,,https://www.transfermarkt.com/marcao/profil/spieler/476102,transfermarkt+namu,2026-08-29,
Abdallah Hleihil,2001-01-11,185,,right,Israel,4,0,175000,2026-05-21,,,https://www.transfermarkt.com/abdallah-hleihel/profil/spieler/704072,transfermarkt+fotmob,2026-08-29,foot=FotMob 슈팅분포 추정
Yago Cariello,1999-07-27,187,87,left,Brazil,0,0,900000,2026-05-21,,,https://www.transfermarkt.com/yago-cariello/profil/spieler/939763,transfermarkt+namu,2026-08-29,
Stefan Mugoša,1992-02-26,188,81,right,Montenegro,65,16,400000,2026-05-21,,,https://www.transfermarkt.com/stefan-mugosa/profil/spieler/149738,transfermarkt+namu,2026-08-29,
Tiago Orobó,1993-10-28,190,84,right,Brazil,0,0,650000,2026-05-21,,,https://www.transfermarkt.com/tiago-orobo/profil/spieler/545375,transfermarkt+fotmob+namu,2026-08-29,foot=FotMob 슈팅분포 추정
Diogo,1996-12-04,194,,right,Brazil,0,0,800000,2026-05-21,2026-12-31,,https://www.transfermarkt.com/diogo-oliveira/profil/spieler/747820,transfermarkt,2026-08-29,
Patryk Klimala,1998-08-05,183,76,right,Poland,11,4,550000,2026-05-21,,,https://www.transfermarkt.com/patryk-klimala/profil/spieler/387153,transfermarkt+namu,2026-08-29,
Breno Herculano,1999-02-16,189,,right,Brazil,0,0,850000,2026-05-21,,,https://www.transfermarkt.com/breno-herculano/profil/spieler/978480,transfermarkt,2026-08-29,
Vitor Gabriel,2000-01-20,187,,right,Brazil,0,0,400000,2026-05-21,,,https://www.transfermarkt.com/vitor-gabriel/profil/spieler/575373,transfermarkt,2026-08-29,
Morgan Ferrier,1994-11-15,185,80,right,Guyana,2,0,200000,2026-05-21,,,https://www.transfermarkt.com/morgan-ferrier/profil/spieler/284736,transfermarkt+namu,2026-08-29,
Jhon Montaño,1997-05-07,189,78,right,Colombia,0,0,325000,2026-05-21,2027-06-30,,https://www.transfermarkt.com/john-montano/profil/spieler/573941,transfermarkt+namu+namu,2026-08-29,foot=나무위키 오른발(양발)
Joo Min-kyu,1990-04-13,183,88,right,South Korea,11,3,600000,2026-05-21,2026-12-31,PUMA,https://www.transfermarkt.com/min-kyu-joo/profil/spieler/264082,transfermarkt+namu+instagram,2026-08-29,"boot=IG 프로필 ""PUMA FOOTBALL ATHLETE"""
Lee Hojae,2000-10-14,192,89,right,South Korea,3,1,900000,2026-05-21,,adidas,https://www.transfermarkt.com/ho-jae-lee/profil/spieler/545501,transfermarkt+namu,2026-08-29,
Kim Sinjin,2001-07-13,186,80,right,South Korea,3,0,150000,2026-05-21,,,https://www.transfermarkt.com/shin-jin-kim/profil/spieler/878050,transfermarkt+namu,2026-08-29,
Jeong Jaemin,2001-10-28,192,85,right,South Korea,2,0,175000,2026-05-21,2027-06-14,,https://www.transfermarkt.com/jae-min-jung/profil/spieler/677477,transfermarkt+namu,2026-08-29,
Lee Kunhee,1998-02-17,187,,right,South Korea,0,0,250000,2026-05-21,2026-10-06,,https://www.transfermarkt.com/gun-hee-lee/profil/spieler/666109,transfermarkt+fotmob,2026-08-29,foot=FotMob 슈팅분포 추정
Kong Minhyu,1990-01-19,182,70,right,South Korea,0,0,,,,,https://www.transfermarkt.com/min-hyun-gong/profil/spieler/263877,transfermarkt+namu,2026-08-29,"weight=나무위키(70kg, 다소 가벼움 유의)"
Bruno Mota,1996-02-10,194,87,left,Brazil,0,0,550000,2026-05-21,2026-12-31,,https://www.transfermarkt.com/bruno-mota/profil/spieler/643242,transfermarkt+namu,2026-08-29,
Hólmbert Friðjónsson,1993-04-19,196,85,left,Iceland,6,2,225000,2026-05-21,,Nike,https://www.transfermarkt.com/holmbert-aron-fridjonsson/profil/spieler/149996,transfermarkt+namu,2026-08-29,
Choe Byeongchan,1996-04-04,178,62,right,South Korea,0,0,225000,2026-05-21,2026-12-31,,https://www.transfermarkt.com/byeong-chan-choe/profil/spieler/561213,transfermarkt+namu,2026-08-29,weight=나무위키(신장 표기는 TM 178 채택)
Kim Gun-hee,1995-02-22,187,79,right,South Korea,3,0,250000,2026-05-21,,,https://www.transfermarkt.com/gun-hee-kim/profil/spieler/426198,transfermarkt+namu,2026-08-29,
Lee Sang-heon,1998-02-26,178,67,right,South Korea,3,1,650000,2026-05-21,2027-05-16,,https://www.transfermarkt.com/sang-heon-lee/profil/spieler/402151,transfermarkt+namu,2026-08-29,
