Player,ig_handle,followers,followers_asof,followers_prev,followers_prev_date,posts_sampled,likes_avg,comments_avg,sample_start,sample_end,yt_subs,tiktok_followers,x_followers,news_count,news_window_days,news_source,boot_sponsor,other_sponsors,image_tags,fanbase_breadth,story_note,collected_date
Yago Cariello,yagocariello,9100,2026-08-31,,,5,1834,50,2026-04-11,2026-08-30,,,,,,"IG meta og:description (게시물별 좋아요/댓글, 로그인 없이)",,,young_prospect|flair_entertainer,domestic,,2026-08-31
Patryk Klimala,patryklimala,45400,2026-08-31,,,10,3033,8,2025-12-11,2026-08-23,,,,,,"IG meta og:description (게시물별 좋아요/댓글, 로그인 없이)",,,global_journey|flair_entertainer|young_prospect,international,,2026-08-31
Lee Hojae,,,,,,,,,,,,,,,,,,,young_prospect|national_team|hardworking_pro,domestic,,
Stefan Mugoša,s.mugosa__9,21700,2026-08-31,,,6,2232,53,2025-10-09,2026-08-24,,,,,,"IG meta og:description (게시물별 좋아요/댓글, 로그인 없이)",,,veteran_leader|global_journey|local_hero|hardworking_pro,regional,,2026-08-31
Lee Dong-gyeong,hilee__dk,,,,,,,,,,,,,,,,,,national_team|flair_entertainer|family_man,regional,,
Abdallah Hleihil,,,,,,,,,,,,,,,,,,,young_prospect|underdog_story|global_journey,domestic,,
Bruno Mota,,,,,,,,,,,,,,,,,,,,domestic,,
Morgan Ferrier,,,,,,,,,,,,,,,,,,,global_journey,domestic,,
Matheus Oliveira Santos,matheusoliveira,,,,,,,,,,,,,,,,,,hardworking_pro|flair_entertainer,domestic,,
Marcão,markaooficial,1034000,2026-09-06,,,3,33300,,2026-04-11,2026-05-14,,,,,,"IG 로그인 세션(Claude in Chrome), 최근 경기 관련 게시물 3건 좋아요 실측",adidas Football,adidas Football,flair_entertainer|hardworking_pro|national_team,international,"인증 계정 103.4만 팔로워(파일럿 최다). adidas football 부츠 계약·bio #말컹. 축구 게시물 좋아요 3.3~3.4만 → 참여율 ~3.2%(1M+ 계정 기준 높은 편). 약혼 등 개인 게시물은 6천~2.1만으로 편차 큼",2026-09-06
Joo Min-kyu,minq_18,29600,2026-08-31,,,5,1156,0,2025-10-20,2026-03-25,,,,,,"IG meta og:description (게시물별 좋아요/댓글, 로그인 없이)",PUMA,,national_team|hardworking_pro|local_hero,domestic,,2026-08-31
Diogo,,,,,,,,,,,,,,,,,,,flair_entertainer,domestic,,
Tiago Orobó,tiagoorobo,20000,2026-08-31,,,6,1575,30,2026-04-19,2026-08-20,,,,,,"IG meta og:description (게시물별 좋아요/댓글, 로그인 없이)",,,flair_entertainer|global_journey,regional,,2026-08-31
Vitor Gabriel,,,,,,,,,,,,,,,,,,,,domestic,,
Kim Sinjin,,,,,,,,,,,,,,,,,,,young_prospect,domestic,,
