Player,Nation,Squad,Pos,Age,90s,Gls,Ast,Gls_90,Ast_90,GplusA_90,Sh_90,SoT_90,SoT_pct,Conversion,Gls_90_pct_rank,Ast_90_pct_rank,GplusA_90_pct_rank,Sh_90_pct_rank,SoT_90_pct_rank,SoT_pct_pct_rank,Conversion_pct_rank
Marcão,br BRA,Ulsan HD,FW,32-071,6.3,5,2,0.79,0.32,1.11,4.44,1.27,28.6,0.17857142857142858,97.06,91.18,100.0,100.0,95.59,26.52,56.06
Abdallah Hleihil,il ISR,Gangwon FC,FW,25-228,6.4,7,0,1.09,0.0,1.09,3.44,1.72,50.0,0.3181818181818182,100.0,13.97,98.53,98.53,100.0,87.88,87.88
Jeong Jae-hee,kr KOR,Daejeon Hana,MFFW,32-121,8.9,6,2,0.67,0.22,0.9,1.57,0.79,50.0,0.42857142857142855,94.12,76.47,97.06,69.12,86.76,87.88,96.97
Yago Cariello,br BRA,Ulsan HD,FW,27-031,12.7,11,0,0.87,0.0,0.87,2.76,1.34,48.6,0.3142857142857143,98.53,13.97,95.59,95.59,97.06,80.3,86.36
Lee Dong-gyeong,kr KOR,Ulsan HD,MFFW,28-341,19.6,9,7,0.46,0.36,0.82,2.19,1.02,46.5,0.20930232558139536,86.76,92.65,94.12,88.24,94.12,77.27,69.7
Stefan Mugoša,me MNE,Incheon United,FW,34-182,13.8,10,1,0.72,0.07,0.8,0.94,0.29,30.8,0.7692307692307693,95.59,38.24,92.65,39.71,33.82,37.88,98.48
Tiago Orobó,br BRA,Jeonbuk,FW,32-303,6.4,4,1,0.62,0.16,0.78,1.88,0.94,50.0,0.3333333333333333,92.65,66.18,91.18,76.47,92.65,87.88,90.15
Matheus Oliveira Santos,br BRA,FC Anyang,FWMF,28-333,20.8,10,5,0.48,0.24,0.72,1.78,0.82,45.9,0.2702702702702703,88.24,80.88,89.71,73.53,89.71,74.24,80.3
Diogo,br BRA,Daejeon Hana,FW,29-266,10.3,3,4,0.29,0.39,0.68,1.94,0.49,25.0,0.15,66.18,96.32,88.24,80.88,66.91,21.97,45.45
Ivan Jukić,ba BIH,FC Anyang,MFFW,30-067,6.0,0,4,0.0,0.67,0.67,1.0,0.0,0.0,0.0,9.56,100.0,86.76,46.32,4.41,3.03,9.85
Patryk Klimala,pl POL,FC Seoul,FW,28-022,17.2,10,1,0.58,0.06,0.64,1.92,0.58,30.3,0.30303030303030304,91.18,29.41,85.29,77.94,73.53,36.36,84.85
Breno Herculano,br BRA,FC Anyang,FW,27-192,8.0,2,3,0.25,0.38,0.62,1.5,0.25,16.7,0.16666666666666666,57.35,94.12,83.82,67.65,25.74,9.85,50.76
Masatoshi Ishida,jp JPN,Daejeon Hana,MFFW,31-115,8.2,3,2,0.37,0.24,0.61,2.2,0.37,16.7,0.16666666666666666,74.26,82.35,82.35,89.71,44.85,9.85,50.76
Kim Daewon,kr KOR,Gangwon FC,MFFW,29-198,23.2,7,7,0.3,0.3,0.6,1.25,0.47,37.9,0.2413793103448276,69.12,88.24,80.88,53.68,64.71,56.06,77.27
Vitor Gabriel,br BRA,Bucheon FC,FW,26-219,11.1,5,1,0.45,0.09,0.54,1.71,0.63,36.8,0.2631578947368421,85.29,45.59,79.41,72.06,76.47,51.52,78.79
Leonardo Ruiz,co COL,FC Seoul,FWMF,30-131,7.4,3,1,0.41,0.14,0.54,1.35,0.41,30.0,0.3,80.15,55.88,77.94,61.76,53.68,33.33,83.33
Seo Jinsu,kr KOR,Daejeon Hana,MFFW,25-313,13.1,4,3,0.31,0.23,0.53,1.3,0.31,23.5,0.23529411764705882,70.59,77.94,76.47,58.82,35.29,18.18,75.76
Jakob Tranziska,de GER,Pohang Steelers,FWMF,25-063,11.3,4,2,0.35,0.18,0.53,1.86,0.44,23.8,0.19047619047619047,72.06,73.53,75.0,75.0,61.76,19.7,59.85
Airton,br BRA,FC Anyang,MFFW,27-206,9.5,5,0,0.53,0.0,0.53,0.42,0.21,50.0,1.25,89.71,13.97,73.53,8.82,17.65,87.88,100.0
Jefferson Galego,br BRA,Bucheon FC,FWMF,29-145,21.0,8,3,0.38,0.14,0.52,2.0,0.86,42.9,0.19047619047619047,76.47,58.09,72.06,83.82,91.18,68.94,59.85
Morgan Ferrier,gy GUY,Incheon United,FW,31-285,14.1,6,1,0.43,0.07,0.5,1.99,0.78,39.3,0.21428571428571427,82.35,35.29,70.59,82.35,85.29,59.09,72.73
Song Minkyu,kr KOR,FC Seoul,MFFW,26-349,18.2,5,4,0.27,0.22,0.49,1.32,0.38,29.2,0.20833333333333334,63.24,75.0,69.12,60.29,50.74,29.55,68.18
Cho Youngwook,kr KOR,FC Seoul,FWMF,27-203,8.2,3,1,0.37,0.12,0.49,0.98,0.37,37.5,0.375,74.26,50.0,67.65,42.65,44.85,53.79,92.42
Jhon Montaño,co COL,Bucheon FC,FW,29-112,6.4,1,2,0.16,0.31,0.47,0.0,0.0,,,42.65,89.71,66.18,2.21,4.41,,
Gustav Ludwigson,se SWE,Daejeon Hana,MFFW,32-311,17.3,4,4,0.23,0.23,0.46,1.1,0.35,31.6,0.21052631578947367,52.94,79.41,64.71,48.53,42.65,39.39,71.21
Joo Min-kyu,kr KOR,Daejeon Hana,FW,36-136,13.1,5,1,0.38,0.08,0.46,2.21,0.76,34.5,0.1724137931034483,77.94,39.71,63.24,91.18,82.35,48.48,54.55
Cho Sanghyeok,kr KOR,Pohang Steelers,FWMF,22-216,6.7,2,1,0.3,0.15,0.45,1.94,0.75,38.5,0.15384615384615385,67.65,64.71,61.76,79.41,80.88,57.58,46.97
Lee Hojae,kr KOR,Pohang Steelers,FW,25-317,18.7,8,0,0.43,0.0,0.43,1.28,0.37,29.2,0.3333333333333333,83.82,13.97,60.29,57.35,48.53,29.55,90.15
Kim Sinjin,kr KOR,Jeju United,FW,25-045,7.4,3,0,0.41,0.0,0.41,2.03,0.81,40.0,0.2,80.15,13.97,58.82,85.29,88.24,62.12,64.39
Jeong Jaemin,kr KOR,Sangmu,FW,24-303,5.1,0,2,0.0,0.39,0.39,1.37,0.59,42.9,0.0,9.56,98.53,56.62,63.24,75.0,68.94,9.85
Emerson Negueba,br BRA,Jeju United,MFFW,25-276,20.4,5,3,0.25,0.15,0.39,2.25,0.74,32.6,0.10869565217391304,54.41,61.76,56.62,92.65,79.41,42.42,33.33
Rodrigo Bassani,br BRA,Bucheon FC,FWMF,28-314,10.3,0,4,0.0,0.39,0.39,2.14,0.49,22.7,0.0,9.56,96.32,54.41,86.76,66.91,16.67,9.85
John Iredale,au AUS,Gwangju FC,FWMF,27-026,7.8,2,1,0.26,0.13,0.38,2.95,1.41,47.8,0.08695652173913043,60.29,54.41,52.94,97.06,98.53,78.79,28.79
Juninho Rocha,br BRA,Pohang Steelers,MFFW,28-295,8.0,2,1,0.25,0.12,0.38,0.62,0.25,40.0,0.4,57.35,51.47,51.47,18.38,25.74,62.12,93.94
Anderson,br BRA,FC Seoul,MFFW,28-042,16.2,2,4,0.12,0.25,0.37,1.11,0.37,33.3,0.1111111111111111,35.29,83.82,50.0,50.0,47.06,45.45,35.61
Son Jeongbeom,kr KOR,FC Seoul,MFFW,18-333,12.1,1,3,0.08,0.25,0.33,0.5,0.17,33.3,0.16666666666666666,29.41,85.29,48.53,13.24,14.71,45.45,50.76
Lee Kunhee,kr KOR,Sangmu,FW,28-191,18.2,4,2,0.22,0.11,0.33,1.21,0.38,31.8,0.18181818181818182,51.47,47.06,47.06,51.47,50.74,40.91,57.58
