--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches,-9999
1,Matheus Aiás,br BRA,FW,Jeju United,29-240,1996,3.3,1,10,4,40.0,3.00,1.20,0.10,0.25,0,0,Matches,3ac4ee49
2,Airton,br BRA,MFFW,FC Anyang,27-206,1999,9.5,5,4,2,50.0,0.42,0.21,1.25,2.50,0,0,Matches,751ef075
3,Anderson,br BRA,MFFW,FC Seoul,28-042,1998,16.2,2,18,6,33.3,1.11,0.37,0.11,0.33,0,0,Matches,4242a0a1
4,Juan Antonio Ros,es ESP,DF,FC Seoul,30-165,1996,24.6,2,8,2,25.0,0.33,0.08,0.25,1.00,0,0,Matches,44415755
5,Yazan Al-Arab,jo JOR,DF,FC Seoul,30-208,1996,19.0,1,12,4,33.3,0.63,0.21,0.08,0.25,0,0,Matches,32878a09
6,Hrvoje Babec,hr CRO,MF,FC Seoul,27-030,1999,21.8,3,23,9,39.1,1.05,0.41,0.13,0.33,0,0,Matches,fe77168c
7,Gong Baehyeon,kr KOR,DF,Gwangju FC,19-175,2007,8.1,0,0,0,,0.00,0.00,,,0,0,Matches,2fe4b303
8,Danny Bakker,nl NED,DFMF,FC Anyang,31-223,1995,0.2,0,0,0,,0.00,0.00,,,0,0,Matches,353ef2a1
9,Rodrigo Bassani,br BRA,FWMF,Bucheon FC,28-314,1997,10.3,0,22,5,22.7,2.15,0.49,0.00,0.00,0,0,Matches,a66767ae
10,Yoon Bit-garam,kr KOR,MFFW,Bucheon FC,36-112,1990,8.3,0,6,1,16.7,0.72,0.12,0.00,0.00,0,0,Matches,35c2aa94
11,Kim Bo-kyung,kr KOR,MFFW,FC Anyang,36-325,1989,1.9,0,3,0,0.0,1.58,0.00,0.00,,0,0,Matches,587ddfd6
12,Victor Bobsin,br BRA,MF,Daejeon Hana,26-227,2000,6.2,0,1,1,100.0,0.16,0.16,0.00,0.00,0,0,Matches,572a8297
