--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
1,Matheus Aiás,br BRA,FW,Jeju United,29-240,1996,5,2,300,3.3,1,2,3,1,0,0,1,0,0.30,0.60,0.90,0.30,0.90,Matches,3ac4ee49
2,Airton,br BRA,MFFW,FC Anyang,27-206,1999,16,8,856,9.5,5,0,5,5,0,0,1,0,0.53,0.00,0.53,0.53,0.53,Matches,751ef075
3,Anderson,br BRA,MFFW,FC Seoul,28-042,1998,20,17,1456,16.2,2,4,6,2,0,0,1,0,0.12,0.25,0.37,0.12,0.37,Matches,4242a0a1
4,Juan Antonio Ros,es ESP,DF,FC Seoul,30-165,1996,25,25,2213,24.6,2,0,2,2,0,0,5,0,0.08,0.00,0.08,0.08,0.08,Matches,44415755
5,Yazan Al-Arab,jo JOR,DF,FC Seoul,30-208,1996,22,20,1709,19.0,1,1,2,1,0,0,4,1,0.05,0.05,0.11,0.05,0.11,Matches,32878a09
6,Hrvoje Babec,hr CRO,MF,FC Seoul,27-030,1999,24,23,1964,21.8,3,2,5,3,0,0,3,1,0.14,0.09,0.23,0.14,0.23,Matches,fe77168c
7,Gong Baehyeon,kr KOR,DF,Gwangju FC,19-175,2007,13,6,726,8.1,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,2fe4b303
8,Danny Bakker,nl NED,DFMF,FC Anyang,31-223,1995,1,0,16,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,353ef2a1
9,Rodrigo Bassani,br BRA,FWMF,Bucheon FC,28-314,1997,16,10,923,10.3,0,4,4,0,0,0,2,1,0.00,0.39,0.39,0.00,0.39,Matches,a66767ae
10,Yoon Bit-garam,kr KOR,MFFW,Bucheon FC,36-112,1990,13,9,746,8.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,35c2aa94
11,Kim Bo-kyung,kr KOR,MFFW,FC Anyang,36-325,1989,9,2,171,1.9,0,1,1,0,0,0,0,0,0.00,0.53,0.53,0.00,0.53,Matches,587ddfd6
12,Victor Bobsin,br BRA,MF,Daejeon Hana,26-227,2000,14,5,556,6.2,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,572a8297
13,Darijan Bojanić,se SWE,MF,Ulsan HD,31-242,1994,23,16,1308,14.5,0,2,2,0,0,0,1,0,0.00,0.14,0.14,0.00,0.14,Matches,aa09d373
14,Yeo Bong-hun,kr KOR,MFDF,Bucheon FC,32-168,1994,6,3,215,2.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,afa33e07
15,Kim Bongsoo,kr KOR,MF,Daejeon Hana,26-244,1999,24,23,2102,23.4,0,1,1,0,0,0,4,0,0.00,0.04,0.04,0.00,0.04,Matches,76854562
16,Song Bum-keun,kr KOR,GK,Jeonbuk,28-316,1997,24,24,2160,24.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2455c2d6
17,Choe Byeongchan,kr KOR,FW,Gangwon FC,30-145,1996,19,17,1060,11.8,1,1,2,1,0,0,1,0,0.08,0.08,0.17,0.08,0.17,Matches,e739b04e
18,Jeon Byeonggwan,kr KOR,MF,Sangmu,23-290,2002,15,3,429,4.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,86746ccb
19,Choi Byeongwook,kr KOR,MFFW,Jeju United,21-138,2005,19,2,403,4.5,1,1,2,1,0,0,1,0,0.22,0.22,0.45,0.22,0.45,Matches,34a6c7d0
20,Yago Cariello,br BRA,FW,Ulsan HD,27-031,1999,20,10,1144,12.7,11,0,11,10,1,1,3,0,0.87,0.00,0.87,0.79,0.79,Matches,ba15f491
21,Julien Celestine,fr FRA,DF,Jeju United,29-034,1997,23,22,2003,22.3,2,1,3,2,0,0,7,0,0.09,0.04,0.13,0.09,0.13,Matches,3dd4379b
22,Park Chan-yong,kr KOR,DF,Pohang Steelers,30-212,1996,21,20,1823,20.3,0,1,1,0,0,0,3,1,0.00,0.05,0.05,0.00,0.05,Matches,265cd8eb
23,Kwon Chang-hoon,kr KOR,MF,Jeju United,32-058,1994,13,10,817,9.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,7961f7aa
24,Lee Chang-keun,kr KOR,GK,Daejeon Hana,32-362,1993,25,25,2250,25.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,703a5565
25,Lee Chang-min,kr KOR,MF,Jeju United,32-219,1994,9,6,467,5.2,0,2,2,0,0,0,0,0,0.00,0.39,0.39,0.00,0.39,Matches,90bce33a
26,Sin Chang-moo,kr KOR,MF,Gwangju FC,33-344,1992,12,10,912,10.1,3,0,3,2,1,1,2,0,0.30,0.00,0.30,0.20,0.20,Matches,033952ee
27,Ha Chang-rae,kr KOR,DF,Daejeon Hana,31-315,1994,13,10,855,9.5,2,1,3,2,0,0,2,0,0.21,0.11,0.32,0.21,0.32,Matches,84ce3617
28,Rim Chang-woo,kr KOR,DFMF,Jeju United,34-195,1992,7,5,388,4.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,8de323e0
29,Lee Chang-yong,kr KOR,DF,FC Anyang,36-000,1990,21,18,1549,17.2,1,0,1,1,0,0,5,1,0.06,0.00,0.06,0.06,0.06,Matches,3aa04ad0
30,Park Changjun,kr KOR,MFFW,Jeju United,29-247,1996,21,11,989,11.0,2,0,2,2,0,0,3,0,0.18,0.00,0.18,0.18,0.18,Matches,51dc505b
31,Lee Changwoo,kr KOR,MF,Pohang Steelers,20-168,2006,9,3,308,3.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,61ffd835
32,Lee Chanouk,kr KOR,DF,Sangmu,23-205,2003,8,2,297,3.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,9b46db4a
33,Park Cheolwoo,kr KOR,DF,Sangmu,28-310,1997,21,20,1802,20.0,2,3,5,2,0,0,5,0,0.10,0.15,0.25,0.10,0.25,Matches,edbd81c9
34,Jung Chiin,kr KOR,MF,Incheon United,29-006,1997,16,6,474,5.3,0,1,1,0,0,0,3,0,0.00,0.19,0.19,0.00,0.19,Matches,efd8c074
35,Hong Chul,kr KOR,DF,Gangwon FC,35-344,1990,6,3,274,3.0,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches,c7de2245
36,Park Chung-hyo,kr KOR,GK,Gangwon FC,36-195,1990,24,24,2160,24.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,9c55d736
37,Lee Chung-yong,kr KOR,FWMF,Incheon United,38-056,1988,24,14,1577,17.5,1,2,3,0,1,1,4,0,0.06,0.11,0.17,0.00,0.11,Matches,49b05a83
38,Lee Chunghyun,kr KOR,FW,Bucheon FC,18-349,2007,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,9bca7c41
39,Andrea Compagno,it ITA,FW,Jeonbuk,30-127,1996,2,0,55,0.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,eb9bcb88
40,Kim Da-sol,kr KOR,GK,FC Anyang,37-235,1989,3,3,270,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,00917f74
