Player,goals,xg,assists,xa,key_passes,key_passes_90,matches,minutes,sot_90,shot_accuracy_pct,dribbles_90,dribble_success_pct,nineties_2025,xg_90,xa_90,goals_90,assists_90,reliability_2025,xg_90_pct,xa_90_pct,key_passes_90_pct,dribbles_90_pct,sot_90_pct
Kim Gun-hee,5.0,4.4,0.0,1.3,16.0,1.2,20.0,1182.0,1.1,48.4,0.1,33.3,13.1,0.336,0.099,0.382,0.0,중간(900~1800),42.9,92.9,83.3,14.3,57.1
Joo Min-kyu,14.0,14.1,4.0,2.5,28.0,1.1,34.0,2320.0,1.0,47.4,0.4,47.6,25.8,0.547,0.097,0.543,0.155,안정(1800+),100.0,82.1,66.7,50.0,42.9
Patryk Klimala,1.0,0.8,1.0,0.1,4.0,2.3,4.0,158.0,,,,,1.8,0.444,0.056,0.556,0.556,낮음(<900분),71.4,42.9,100.0,,
Lee Kunhee,2.0,2.8,2.0,0.7,6.0,0.8,11.0,650.0,,,,,7.2,0.389,0.097,0.278,0.278,낮음(<900분),57.1,82.1,45.8,,
Choe Byeongchan,1.0,0.9,0.0,0.2,3.0,0.6,10.0,429.0,,,,,4.8,0.188,0.042,0.208,0.0,낮음(<900분),14.3,35.7,25.0,,
Bruno Mota,14.0,13.7,3.0,2.0,35.0,1.2,37.0,2642.0,1.4,41.2,0.2,27.3,29.4,0.466,0.068,0.476,0.102,안정(1800+),78.6,64.3,83.3,28.6,92.9
Yago Cariello,0.0,0.6,0.0,0.0,1.0,0.6,5.0,150.0,,,,,1.7,0.353,0.0,0.0,0.0,낮음(<900분),50.0,10.7,25.0,,
Kim Sinjin,0.0,0.2,0.0,0.0,,,5.0,79.0,,,,,0.9,0.222,0.0,0.0,0.0,낮음(<900분),21.4,10.7,,,
Vitor Gabriel,4.0,5.2,1.0,0.4,7.0,0.5,27.0,1397.0,0.8,31.0,0.8,30.2,15.5,0.335,0.026,0.258,0.065,중간(900~1800),35.7,21.4,8.3,100.0,28.6
Hólmbert Friðjónsson,2.0,0.8,0.0,0.2,,,9.0,235.0,,,,,2.6,0.308,0.077,0.769,0.0,낮음(<900분),28.6,71.4,,,
Lee Hojae,15.0,16.2,1.0,1.2,27.0,0.9,34.0,2784.0,1.3,42.9,0.7,41.8,30.9,0.524,0.039,0.485,0.032,안정(1800+),92.9,28.6,58.3,85.7,71.4
Marcão,3.0,2.0,0.0,0.3,3.0,0.6,9.0,430.0,,,,,4.8,0.417,0.062,0.625,0.0,낮음(<900분),64.3,50.0,25.0,,
Lee Sang-heon,4.0,3.8,0.0,2.2,18.0,0.8,30.0,1966.0,0.5,30.6,0.6,40.6,21.8,0.174,0.101,0.183,0.0,안정(1800+),7.1,100.0,45.8,71.4,14.3
Tiago Orobó,9.0,8.7,6.0,1.1,20.0,1.2,30.0,1513.0,1.4,46.2,0.4,28.0,16.8,0.518,0.065,0.536,0.357,중간(900~1800),85.7,57.1,83.3,50.0,92.9
