Player,Nation,Squad,Pos,Age,90s,Gls,Ast,Gls_90,Ast_90,GplusA_90,Sh_90,SoT_90,SoT_pct,Conversion,Gls_90_pct_rank,Ast_90_pct_rank,GplusA_90_pct_rank,Sh_90_pct_rank,SoT_90_pct_rank,SoT_pct_pct_rank,Conversion_pct_rank,age_years,xa,key_passes,key_passes_90,big_chances_created,big_chances_missed,shot_conversion_pct,shot_accuracy_pct,dribbles_90,dribble_success_pct,pk_won,fouls_drawn_90,xg,minutes,reliability,xg_90,xa_90,bcc_90,bcm_90,dob,height_cm,weight_kg,preferred_foot,nationality,nt_caps,nt_goals,market_value_eur,market_value_asof,contract_until,boot_sponsor,xg_90_pct,Sh_90_pct,SoT_90_pct,xa_90_pct,key_passes_90_pct,dribbles_90_pct,radar_ready
Abdallah Hleihil,il ISR,Gangwon FC,FW,25-228,6.4,7,0,1.09,0.0,1.09,3.44,1.72,50.0,0.3181818181818182,100.0,13.97,98.53,98.53,100.0,87.88,87.88,25.0,0.3,9.0,1.4,0.0,7.0,21.9,46.9,0.5,33.3,0.0,,7.3,576.0,낮음(<900분),1.141,0.047,0.0,1.094,2001-01-11,185,,right,Israel,4,0,175000.0,2026-05-21,,,100.0,95.5,100.0,14.3,83.3,57.1,True
Breno Herculano,br BRA,FC Anyang,FW,27-192,8.0,2,3,0.25,0.38,0.62,1.5,0.25,16.7,0.1666666666666666,57.35,94.12,83.82,67.65,25.74,9.85,50.76,27.0,1.4,14.0,1.7,6.0,3.0,12.5,25.0,0.6,45.5,0.0,,2.3,720.0,낮음(<900분),0.288,0.175,0.75,0.375,1999-02-16,189,,right,Brazil,0,0,850000.0,2026-05-21,,,19.0,45.5,18.2,85.7,97.6,69.0,True
Bruno Mota,br BRA,Jeonbuk,FW,30-198,15.7,3,2,0.19,0.13,0.32,2.74,0.76,27.9,0.0697674418604651,50.0,52.94,44.12,94.12,83.82,24.24,22.73,30.0,0.8,13.0,0.8,3.0,6.0,5.4,26.8,0.0,0.0,0.0,,6.6,1413.0,중간(900~1800),0.42,0.051,0.191,0.382,1996-02-10,194,87.0,left,Brazil,0,0,550000.0,2026-05-21,2026-12-31,,52.4,86.4,70.5,19.0,35.7,9.5,True
Choe Byeongchan,kr KOR,Gangwon FC,FW,30-145,11.8,1,1,0.08,0.08,0.17,1.27,0.42,33.3,0.0666666666666666,31.62,44.12,27.94,55.88,57.35,45.45,21.21,30.0,0.4,11.0,0.9,0.0,2.0,5.3,31.6,0.4,29.4,0.0,,2.5,1062.0,중간(900~1800),0.212,0.034,0.0,0.169,1996-04-04,178,62.0,right,South Korea,0,0,225000.0,2026-05-21,2026-12-31,,9.5,31.8,40.9,4.8,45.2,42.9,True
Diogo,br BRA,Daejeon Hana,FW,29-266,10.3,3,4,0.29,0.39,0.68,1.94,0.49,25.0,0.15,66.18,96.32,88.24,80.88,66.91,21.97,45.45,29.0,2.2,16.0,1.6,7.0,6.0,10.3,27.6,0.5,41.7,1.0,2.0,4.8,927.0000000000001,중간(900~1800),0.466,0.214,0.68,0.583,1996-12-04,194,,right,Brazil,0,0,800000.0,2026-05-21,2026-12-31,,66.7,68.2,45.5,100.0,90.5,57.1,True
Hólmbert Friðjónsson,is ISL,Gwangju FC,FW,33-130,11.8,1,2,0.08,0.17,0.25,1.69,0.34,20.0,0.05,31.62,70.59,36.76,70.59,38.24,14.39,19.7,33.0,0.7,6.0,0.5,3.0,5.0,3.0,36.4,0.4,35.7,0.0,,4.6,1062.0,중간(900~1800),0.39,0.059,0.254,0.424,1993-04-19,196,85.0,left,Iceland,6,2,225000.0,2026-05-21,,Nike,47.6,50.0,27.3,35.7,11.9,42.9,True
Jeong Jaemin,kr KOR,Sangmu,FW,24-303,5.1,0,2,0.0,0.39,0.39,1.37,0.59,42.9,0.0,9.56,98.53,56.62,63.24,75.0,68.94,9.85,24.0,0.3,7.0,1.4,1.0,2.0,0.0,40.0,0.2,33.3,0.0,,1.3,458.99999999999994,낮음(<900분),0.255,0.059,0.196,0.392,2001-10-28,192,85.0,right,South Korea,2,0,175000.0,2026-05-21,2027-06-14,,14.3,40.9,54.5,35.7,83.3,28.6,True
Jhon Montaño,co COL,Bucheon FC,FW,29-112,6.4,1,2,0.16,0.31,0.47,0.0,0.0,,,42.65,89.71,66.18,2.21,4.41,,,29.0,0.5,8.0,1.2,2.0,3.0,8.3,,0.0,0.0,1.0,1.1,1.9,576.0,낮음(<900분),0.297,0.078,0.312,0.469,1997-05-07,189,78.0,right,Colombia,0,0,325000.0,2026-05-21,2027-06-30,,23.8,4.5,6.8,47.6,73.8,9.5,True
Joo Min-kyu,kr KOR,Daejeon Hana,FW,36-136,13.1,5,1,0.38,0.08,0.46,2.21,0.76,34.5,0.1724137931034483,77.94,39.71,63.24,91.18,82.35,48.48,54.55,36.0,1.9,14.0,1.1,3.0,4.0,14.3,34.3,0.0,0.0,0.0,,6.0,1179.0,중간(900~1800),0.458,0.145,0.229,0.305,1990-04-13,183,88.0,right,South Korea,11,3,600000.0,2026-05-21,2026-12-31,PUMA,61.9,81.8,70.5,81.0,66.7,9.5,True
Kim Gun-hee,kr KOR,Gangwon FC,FW,31-186,6.2,0,1,0.0,0.16,0.16,0.81,0.65,80.0,0.0,9.56,69.12,25.0,30.88,77.94,100.0,9.85,31.0,1.3,0.0,0.0,3.0,3.0,0.0,,0.2,50.0,0.0,,1.9,558.0,낮음(<900분),0.306,0.21,0.484,0.484,1995-02-22,187,79.0,right,South Korea,3,0,250000.0,2026-05-21,,,33.3,18.2,63.6,95.2,4.8,28.6,True
